item,item_en,2024,2023,2022
TÀI SẢN ,ASSETS,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2298832191.0,2401293189.0,2613167988.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,524444967.0,706016167.0,301849270.0
1. Tiền,1. Cash,54894967.0,139936167.0,174889270.0
2. Các khoản tương đương tiền,2. Cash equivalents,469550000.0,566080000.0,126960000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,320000000.0,474600000.0,517356521.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,320000000.0,474600000.0,517356521.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,195930016.0,137115612.0,168161862.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,93698543.0,94365923.0,103110087.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,47123931.0,16970876.0,25470242.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,30000000.0,8400000.0,26674968.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,35545238.0,27290934.0,21375192.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-10545599.0,-9925874.0,-9227874.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,107903.0,13752.0,759247.0
IV. Hàng tồn kho,IV. Inventories,1178176968.0,1001410560.0,1529197569.0
1. Hàng tồn kho,1. Inventories,1188164125.0,1014704293.0,1583422749.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-9987157.0,-13293733.0,-54225179.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,80280240.0,82150849.0,96602766.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,79735343.0,76574570.0,90265434.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,434073.0,833035.0,823839.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,110825.0,4743245.0,5513494.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,2377398519.0,2701949352.0,2881620468.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,61051272.0,97730052.0,110133485.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,95351027.0,101693562.0
6. Phải thu dài hạn khác,6. Other long-term receivables,61051272.0,2379025.0,8439923.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,
II. Tài sản cố định,II. Fixed assets,1502688822.0,1778970626.0,1961395713.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1488090883.0,1765396389.0,1947916055.0
      - Nguyên giá,    - Cost,4445080961.0,4303139006.0,4032549051.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-2956990078.0,-2537742617.0,-2084632996.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,
      - Nguyên giá,    - Cost,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,14597939.0,13574236.0,13479657.0
      - Nguyên giá,    - Cost,20365059.0,18851059.0,18292677.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-5767119.0,-5276822.0,-4813019.0
III. Bất động sản đầu tư,III. Investment properties,,,
      - Nguyên giá,    - Cost,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,326243687.0,383190151.0,328102822.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,326243687.0,383190151.0,328102822.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,487414739.0,442058524.0,481988448.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,468985262.0,432740840.0,472248926.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,18429477.0,9317684.0,9739522.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,
5. Lợi thế thương mại,5. Goodwill,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,4676230710.0,5103242541.0,5494788456.0
NGUỒN VỐN,OWNER'S EQUITY,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,1436230385.0,1509904385.0,2056900664.0
I. Nợ ngắn hạn,I. Short -term liabilities,1417065405.0,1509776241.0,1613900664.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,219919328.0,249780761.0,257077841.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,6171885.0,5213305.0,6328471.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,96003914.0,33190637.0,10175672.0
4. Phải trả người lao động,4. Payable to employees,70993950.0,31367125.0,28391751.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,51052073.0,46360757.0,48931103.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,,,535600.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,4993758.0,4537465.0,313209102.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,930636099.0,1121377415.0,923785428.0
