Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu định giá,Chỉ tiêu định giá,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/S,P/Cash Flow,EPS (VND),EV/EBITDA,,P/B,BVPS (VND),
NOS,2024,2,-1.0903836462,-1.0875570653,-0.05692723811539023,-25.006345640815717,0.3783738865,0.5554915207,111.1438788945911,10.4559247813,220.5295789244,342.1293826002911,34.9084378123,-0.5428450452753844,-0.5044521022217925,-3.26489758381016,0.0,0.0634484289,-0.7430829511,18054778966.0,-25657845345,0.0419391005,0.0021398866,0.03834011,1.2408517285536629,-0.08755706533612181,15620745600.0,19525932.0,-0.0438020856,0.0837487594,172.0737997639,-7903.184029013314,174.1836626422,quarter,0.0,0.0,NOS
NOS,2024,1,-1.0847329591000001,-1.0976974765,-0.06528513212281842,-24.236914877283606,0.3183076485,0.4552040886,121.76179626015397,8.1505755871,225.2721609491,355.184532796354,44.7821133736,-0.7672580837452155,-0.6975852314515208,-1.1601897129884593,0.0,0.0732325157,-0.5289170898,6693489208.0,-33458800170,0.041890573,0.0014538993,0.0387179519,1.9534500982643026,-0.0976974764571462,23431118400.0,19525932.0,-0.0859654347,0.1390694832,-2.1128121776,-2591.1116574102584,455.3455310065,quarter,0.0,0.0,NOS
NOS,2023,4,-1.0961418387,-1.1066747549,-0.07339521411563202,-23.947726519844437,0.2893460176,0.3977250292,132.92810922510648,16.7892086291,223.1130906321,372.8304084863065,21.7401551237,-0.7807338733456028,-0.6915212802381472,-2.552024701002776,0.0,0.0826774889,-0.5145511928,-6399790259.0,-37189221738,0.0408634569,0.0016028298,0.0376996769,2.131251927772467,-0.10664608707932523,21478525200.0,19525932.0,-0.0737474294,0.127680748,-3.4080108547,-6225.685368770105,-463.9231844759,quarter,0.0,0.0,NOS
NOS,2023,3,-1.0995567437,-1.1165368603,-0.08282251313928064,-23.341612094415638,0.3642409109,0.4900571853,92.97535771284169,7.245125692,192.4884225553,292.7089059601417,50.3786981093,-0.47773783863870184,-0.4120189163318538,-0.8295685974094245,0.0,0.0802793995,-0.4246985453,2588202025.0,-22936994926,0.0403211171,0.0035585631,0.03938362,1.3459521659804454,-0.11653686027566486,21537102996.0,19525932.0,-0.0878780838,0.0997562419,2.6137581631,-2039.799163901626,1147.1552939261,quarter,0.0,0.0,NOS
NOS,2023,2,-1.1091703697,-1.1259456807,-0.09111918572571003,-23.143023244355803,0.3896046119,0.5120167187,82.00258412928078,8.0344770391,179.0035413056,269.0406024739808,45.4292168889,-1.388235368285797,-1.2902116880297354,-2.3255348474090085,0.0,0.0809347932,-0.3956763158,4395081335.0,-40579996569,0.0401999487,0.0022839618,0.03906479,1.5554731457065292,-0.12594568065105013,17573338800.0,19525932.0,-0.073044773,0.0722225073,1.7541812176,-3481.44854125273,675.6175791186,quarter,0.0,0.0,NOS
NOS,2023,1,-1.1247547947,-1.1294167581,-0.10017544699769118,-22.80407964903271,0.4877876071,0.6267379136,63.57745317141365,8.520694174,155.5359492103,227.63409655571365,42.8368854162,-1.0650096804026927,-0.9819726434474171,-1.439078679816092,0.0,0.0770551999,-0.4212282416,15650471659.0,-46161614087,0.0350593343,0.0055098013,0.0341428038,2.8471327213787676,-0.12941675814355583,19525932000.0,19525932.0,-0.0726879916,0.0611106411,1.3866504268,-3194.480174774756,189.1059259334,quarter,0.0,0.0,NOS
NOS,2022,4,-1.1403175356,-1.1440011776,-0.10947545172930205,-22.471802989080576,0.5240744441,0.6615727092,54.87418045474634,9.6453728903,150.7008587648,215.22041210984634,37.8419791697,-0.3005651682215027,-0.2519428816039395,-0.8556227923716492,0.0,0.059173878,-0.348981401,47879226508.0,-28646993398,0.0412680042,0.0041561609,0.0352231097,1.6278656565763565,-0.14397556578696571,17729546256.0,19525932.0,-0.0736576594,0.0477523408,0.7752185982,-4176.485428966976,61.339582976,quarter,0.0,0.0,NOS
NOS,2022,3,-1.1505819672,-1.1520251234,-0.11894895023501724,-22.065192645617273,0.4800810853,0.6022238931,55.814906323468136,8.5473301911,163.0367958363,227.39903235086814,42.7033929707,-0.2758504629225293,-0.21519842189545954,-0.46675888695674944,0.0,0.0473951486,-0.2121984116,33651809932.0,-20809213449,0.0397295174,0.002896085,0.0370397614,1.2387035262107666,-0.15202512336193952,23431118400.0,19525932.0,-0.1563689253,0.067289211,1.8092733414,-1803.2783593633328,87.4423505096,quarter,0.0,0.0,NOS
NOS,2022,2,-1.1623712362,-1.1609449773,-0.12785019678602658,-21.889630765770843,0.450128912,0.55658101,57.4756628497045,8.5342576223,171.1545948268,237.1645152988045,42.7688049921,-0.2749672425901478,-0.15017935557705564,-0.9180142225815698,0.0,0.0450888151,-0.1984499551,38859200804.0,-28988935193,0.0376231744,0.0023327337,0.034050686,1.4952421632552337,-0.16094497728714693,29288898000.0,19525932.0,-0.2001172295,0.0858946332,2.3096441022,-4956.657857868193,76.0647723601,quarter,0.0,0.0,NOS
NOS,2022,1,-1.1694155331,-1.1750384574,-0.13878614985668838,-21.407065128156162,0.3791446415,0.4623467688,67.10713181907158,7.306789678,194.6969524291,269.1108739261716,49.9535385697,-0.14657746752721704,-0.1063529401450118,-0.30940076285160284,0.0,0.0428962688,-0.0986504337,9384973879.0,-13940592049,0.0395052389,0.0047966676,0.0353804222,0.8712729559098138,-0.17503845744892296,31241491200.0,19525932.0,-0.4013574186,0.1044300225,1.7194852381,-1507.0359487065714,309.6045003779,quarter,0.0,0.0,NOS
